ETC_20150211_000001	케파	Kepa
ETC_20150211_002117	가시 독	Visible poison
ETC_20150211_002118	기 빨림	Based on Parurimu
ETC_20150211_002119	혼미	Confusion
ETC_20150211_002120	시간되돌리기	I returned to the original time
ETC_20150211_002121	시간을 되돌린다. HP,SP,STA,스킬쿨다운 등이 버프받은 시점으로 되돌아간다.	I return the time. HP, SP, STA, such as skills cooldown I return to the time of receiving the buff.
ETC_20150211_002122	시간뒤로재생	Time reverse play
ETC_20150211_002123	몬스터 행동을 되감기.	Rewind the behavior of monsters.
ETC_20150211_002124	꿰임	Kuu~eimu
ETC_20150211_002125	정신과 육체가 연결되어 대미지를 공유한다.	Spirit and flesh I share the damage is connected.
ETC_20150211_002126	스피리추얼체인	Speed ??Ritual chain
ETC_20150211_002127	정신과 육체가 연결되어 데미지를 공유한다.	Spirit and flesh I share the damage is connected.
ETC_20150211_002128	조인트페널티	Joint penalty
ETC_20150211_002129	엄빌리클코드	Omubiri large code
ETC_20150211_002130	연결체로부터 방어력과 피리젠을 공급받는다.	Is supplied to avoid emergence and defense force from the connection body.
ETC_20150211_002131	연결된 객체들에게 방어력과 피리젠을 전달한다	I provide the avoidance emergence and defense force to the connected objects
ETC_20150211_002132	소울디펜스	Seoul defense
ETC_20150211_002133	소환수가 주인의 공격을 대신 맞아준다.	Servitor welcoming instead attack the master.
ETC_20150211_002134	적의 공격을 예측함.	I predict the enemy's attack.
ETC_20150211_002135	변신	Metamorphosis
ETC_20150211_002136	몬스터로 변신함.	I turn into a monster.
ETC_20150211_002137	텔레파스	Telepath
ETC_20150211_002138	식물방어	Defense of the plant
ETC_20150211_002139	대지의탑 몬스터	Earth tower monster
ETC_20150211_002140	대지의 탑의 기운을 받습니다.	I will receive the aura of the earth of the tower.
ETC_20150211_002141	주변 스턴	Peripheral Stern
ETC_20150211_002142	5초뒤 주변 광역 스턴. 큐어로 제거가능	5 Chodo~i around wide area Stan. Removably to cure
ETC_20150211_002143	암흑바닥생성	Bottom product of darkness
ETC_20150211_002144	5초마다 암흑바닥 생성	The bottom product of darkness every 5 seconds
ETC_20150211_002145	뭉치면 무섭지	If unity, and scared
ETC_20150211_002146	스턴	Stern
ETC_20150211_002147	이동 불가. 피격 시 해제되지만, 대미지를 10% 더 받음.	Unmovable. Although is released during the attack, you have damaged more than 10%.
ETC_20150211_002148	수면	Sleep
ETC_20150211_002149	잠듦. 행동 불가. 공격을 맞을까지 풀리지 않음.	Jamudo~urumu. Not action. Can not be solved until greet the attack.
ETC_20150211_002150	얼음 속성의 공격으로 인해 [결빙] 상태가 됨. 지속적인 피해를 입고, 행동 불가. 	It is in the frozen] state for ice attributes attack. In response to the ongoing damage, disable action.
ETC_20150211_002151	정적인 시공간에 갇힘. 행동이 불가능 하지만, 모든 공격 무효화 됨.	Confinement in space when static. Can not act, but is all of attack disabled.
ETC_20150211_002152	행동 불가. [석화] 상태인 동안에는 대미지를 50% 덜 받음. 피격시 [석화] 상태가 해제될 가능성이 있음.	Not action. During a state of [petrochemical] I receive 50% less damage. may attack upon a status of petrochemical] is released.
ETC_20150211_002153	침묵	Silence
ETC_20150211_002154	기본 공격 및 스킬 사용 불가.	Basic attacks and skills unavailable.
ETC_20150211_002155	아군과 적군을 구분하지 못함.	It is not possible to distinguish between friend and foe.
ETC_20150211_002156	지속적인 피해를 입음. 움직이면 움직일수록 더욱 많은 피해를 입게 됨.	To wear the ongoing damage. The more move and move, that you suffer a lot of damage.
ETC_20150211_002157	대량출혈	Massive bleeding
ETC_20150211_002158	출혈보다 더 심한 지속적인 피해를 입음. 움직이면 움직일수록 더욱 많은 피해를 입게 됨.	To wear a more serious lasting damage than the bleeding. The more move and move, that you suffer a lot of damage.
ETC_20150211_002159	독 속성 지속적인 피해를 입음. 시간이 지나면 [중독] 상태가 해제 되지만, 해독 스킬이나 해독제를 통해서도 회복 가능.	To wear the ongoing damage of poison attribute. When the time has elapsed, [addiction] but state is canceled, also can be recovered from deciphering skills and antidote.
ETC_20150211_002160	불 속성의 지속적인 피해를 입음.	To wear a sustained damage of fire attribute.
ETC_20150211_002161	HP와 SP 회복이 불가. 큐어로 해제 가능.	HP and SP recovery is impossible. It can be released to cure.
ETC_20150211_002162	공격력 약화	Attack power weakening
ETC_20150211_002163	공격력 감소. 중첩시 더욱 감소됨.	Attack power reduction. Is further reduced when nested.
ETC_20150211_002164	방어력 약화	Weakening of the defense force
ETC_20150211_002165	방어력 감소. 중첩시 더욱 감소됨.	Defense force reduction. Is further reduced when nested.
ETC_20150211_002166	아머 브레이크	Armor Break
ETC_20150211_002167	방어구의 방어능력이 일시적으로 사라짐.	Armor defense force temporarily disappear.
ETC_20150211_002168	인간, 야수형 몬스터에게 지속적인 피해를 입히고, 가까이에 다른 인간, 야수형 몬스터가 있을 시 확률적으로 전염시킴.	Humans, giving a continuous damage beast-type monsters, other human close, when there is Beast type monsters, stochastically are infected.
ETC_20150211_002169	둔화	Blunting
ETC_20150211_002170	이동 속도 50% 감소.	Was reduced movement speed by 50%.
ETC_20150211_002171	소형화	Miniaturization
ETC_20150211_002172	몸이 작아짐.	Body is reduced.
ETC_20150211_002173	대형화	Upsizing
ETC_20150211_002174	몸이 커짐.	Body increases.
ETC_20150211_002175	다른 꿰임상태의 대상과 한 몸이 된 것 처럼, 대미지를 같이 받음.	As was the body which is the subject of other Kuu~eimu state, damaged together.
ETC_20150211_002176	지능과 정신이 일시적으로 대폭 줄어듬.	Intelligence and spirit temporarily greatly reduced.
ETC_20150211_002177	일시적으로 주변이 보이지 않음.	Peripheral is not visible temporarily.
ETC_20150211_002178	방어능력이 향상됩니다.	Defense capability is improved.
ETC_20150211_002179	이동속도가 향상됩니다.	Movement speed is improved.
ETC_20150211_002180	공격능력이 향상됩니다.	Will improve the attack ability.
ETC_20150211_002181	철갑화	Tetsukabuto-ka
ETC_20150211_002182	일정 시간 동안 공격을 20%만큼 반사시킵니다.	Between attacks for a certain period of time I will be reflected as much as 20%.
ETC_20150211_002183	충격 흡수	Impact absorption
ETC_20150211_002184	일정 시간 동안 공격을 막아주는 보호막을 생성 합니다.	I will generate a protective film that will prevent the attack during a certain period of time.
ETC_20150211_002185	이동속도가 감소됩니다.	Movement speed is reduced.
ETC_20150211_002186	공격력 감소	Reduction of attack power
ETC_20150211_002187	공격력이 감소됩니다.	Attack power will be reduced.
ETC_20150211_002188	헬가세르클의 분노	Helga Sale anger of large
ETC_20150211_002189	방어력 상승	Defense force increase
ETC_20150211_002190	아콘의 분노	Anger of Aconcagua
ETC_20150211_002191	끈적임	Stickiness
ETC_20150211_002192	끈적임으로 인해 이동속도가 감소합니다.	Movement speed is reduced by sticky.
ETC_20150211_002193	분노 상태가 됩니다. 방어력이 증가합니다.	It becomes angry state. Defense force will increase.
ETC_20150211_002194	방어력 강화	Strengthening of the defense force
ETC_20150211_002195	일시적으로 방어력이 증가합니다	Temporarily defense force will increase
ETC_20150211_002196	이동속도 강화	Strengthening movement speed
ETC_20150211_002197	일시적으로 이동속도가 증가합니다	Movement speed will increase temporarily
ETC_20150211_002198	돌아가기	Go back
ETC_20150211_002199	수정 가시	Modify visible
ETC_20150211_002200	지속 회복	Sustained recovery
ETC_20150211_002201	10초당 HP 20%씩 회복	By HP 20% per 10 seconds recovery
ETC_20150211_002202	방어력 극대화	Maximize the defense force
ETC_20150211_002203	공격력 극대화	Maximize the attack force
ETC_20150211_002204	체력 감소	Decrease physical fitness
ETC_20150211_002205	체력이 감소 됩니다.	Physical strength is reduced.
ETC_20150211_002206	움직임이 느려지고, 정신력이 감소합니다.	Movement is slow ,, mental strength will be reduced.
ETC_20150211_002207	독구름	Cloud of poison
ETC_20150211_002208	지속적으로 대미지를 입는 상태입니다..	It is a state of continuous wear damage.
ETC_20150211_002209	독구름.	Dokukumo.
ETC_20150211_002210	혈점자극	Hyorujomu stimulus
ETC_20150211_002211	공격력이 증가하고 방어력이 하락합니다.	Defense force will be reduced attack power is increased.
ETC_20150211_002212	아이템 대박	Items jackpot
ETC_20150211_002213	잡으면 아이템 대박	Catch items jackpot
ETC_20150211_002214	독 바르기	Apply Poison
ETC_20150211_002215	무기에 독을 발랐습니다.	I have painted a poison to a weapon.
ETC_20150211_002216	체력을 회복합니다.	I will heal.
ETC_20150211_002217	죽음의 눈	Eye of death
ETC_20150211_002218	죽음이 기다리고 있습니다. 스킬 사용 불가.	Death is waiting. Skills unavailable.
ETC_20150211_002219	격노	Loose the temper
ETC_20150211_002220	공격력 100% 증가.{nl}밀림, 넘어짐 효과에 면역.	Increased attack power 100%. {Nl} jungle, is immune to falling effect.
ETC_20150211_002221	복수	Multiple
ETC_20150211_002222	반격이 가능.	Counterattack is possible.
ETC_20150211_002223	이동 속도 50% 감소	Decrease movement speed 50%
ETC_20150211_002224	공격불가	Attacks are not allowed
ETC_20150211_002225	감전	Shock
ETC_20150211_002226	방어력 감소, 이동속도 감소	Defense force reduction, reduced movement speed
ETC_20150211_002227	탈진	Drainage
ETC_20150211_002228	힘을 소진하여, 휴식을 취해야 합니다. 또한 방어력이 하락합니다.	Is discharged power, you need to take a break. In addition, defense force will be reduced.
ETC_20150211_002229	무적	Invincible
ETC_20150211_002230	무적 스킬 사용 중. 몬스터를 공격할 수 없습니다.	During invincible skill use. It is not possible to attack the monster.
ETC_20150211_002231	큐바스 버프	Kyubasubafu
ETC_20150211_002232	큐바스 : 플레임	Queue bus: frame
ETC_20150211_002233	큐바스의 불 속성 저항력이 상승합니다. 	Fire attribute resistance of queue bus will rise.
ETC_20150211_002234	큐바스 : 워터	Queue bus: Water
ETC_20150211_002235	큐바스의 얼음 속성 저항력이 상승합니다. 	Ice attribute resistance of queue bus will rise.
ETC_20150211_002236	큐바스 : 템페스트	Queue bus: Tempest
ETC_20150211_002237	큐바스의 번개 속성 저항력이 상승합니다. 	Lightning resistance of queue bus will rise.
ETC_20150211_002238	마법 무효화	Magic disabled
ETC_20150211_002239	마법 공격을 무효화	Disable the magic attack
ETC_20150211_002240	물리 공격 축적	Physical attack accumulation
ETC_20150211_002241	적에게 물리 공격을 받을때 마다 중첩됩니다.	It is nested in each time you receive a physical attack on the enemy.
ETC_20150211_002242	마법 공격 축적	Magic attack accumulation
ETC_20150211_002243	적에게 마법 공격을 받을때 마다 중첩됩니다.	It is nested in each time you receive a magic attack the enemy.
ETC_20150211_002244	망치충격	The impact of the hammer
ETC_20150211_002245	큰 충격을 받음.	I am shocked.
ETC_20150211_002246	끈적이 거품	Sticky foam
ETC_20150211_002247	화상	Image
ETC_20150211_002248	주기적으로 1의 피해. 스킬 사용 불가	Periodically I will give one of damage. Skills unavailable
ETC_20150211_002249	이동속도 증가 범위 버프	Range of increase in movement speed buff
ETC_20150211_002250	이동속도 하향 디버프	Movement speed debuff downward
ETC_20150211_002251	블락 확률 증가	Block probability increase
ETC_20150211_002252	블럭 확률 증가 버프	Block probability increase buff
ETC_20150211_002253	이속증가 버프	Movement speed increase buff
ETC_20150211_002254	이동속도 증가 버프	Increase in movement speed buff
ETC_20150211_002255	파이어 월	Fire Wall
ETC_20150211_002256	파이어 월 스킬	Firewall skills
ETC_20150211_002257	큐어 디버프	Kyuadebafu
ETC_20150211_002258	화상 디버프	Image debuff
ETC_20150211_002259	힐 디버프	Hirudebafu
ETC_20150211_002260	힐 공격	Hill attack
ETC_20150211_002261	공격력 증가 버프	Attack power increase buff
ETC_20150211_002262	공격력 증가 상수 버프	Attack power increase constant buff
ETC_20150211_002263	공격력 감소 디버프	Attack power reduction debuff
ETC_20150211_002264	어그레서 버프	Word Guresobafu
ETC_20150211_002265	회피율 감소, 명중률 증가	Avoidance rate reduction, hit rate increase
ETC_20150211_002266	트랜스포스 버프	Transformer Force buff
ETC_20150211_002267	몬스터의 체력을 공격력으로 전환	Convert physical strength of the monster to attack power
ETC_20150211_002268	던져지는중	While thrown
ETC_20150211_002269	던져지는 중	While thrown
ETC_20150211_002270	지속적으로 화염 대미지를 입는 상태입니다.	It is a state of continuous wear flame damage.
ETC_20150211_002271	HP제한	HP limited
ETC_20150211_002272	독출혈	Poison bleeding
ETC_20150211_002273	독지역 생성	Creating a poison region
ETC_20150211_002274	패러뮨 콜렉션	Para Muenster collection
ETC_20150211_002275	부베족을 물리쳐라!	Get rid of the Vubbe tribe!
ETC_20150211_002276	테스트 부베족을 물리쳐라!	Get rid of the Vubbe tribe for test!
ETC_20150211_002301	제목	Title
ETC_20150211_002302	짧은 설명	Brief explanation
ETC_20150211_002303	설명1	Description 1
ETC_20150211_002304	간략한 설명	Brief description
ETC_20150211_002305	자세한 설명	Detailed description
ETC_20150211_002306	사진에 대한 부가 설명	Photos of the additional description
ETC_20150211_002307	기본조작법	Basic operation
ETC_20150211_002308	이동	Move
ETC_20150211_002309	방향키를 이용하여 자유롭게 이동할 수 있습니다.	You can use the arrow keys, you can move freely.
ETC_20150211_002310	방향키	Arrow Keys
ETC_20150211_002311	를 이용하여 캐릭터를 이동시킬 수 있습니다.{nl}{img arrowkey_up 40 40}{img arrowkey_down 40 40}{img arrowkey_left 40 40}{img arrowkey_right 40 40}	are used to move you character. {nl} {img arrowkey_up 40 40} {img arrowkey_down 40 40} {img arrowkey_left 40 40} {img arrowkey_right 40 40}
ETC_20150211_002312	를 조합하여 대각선 이동을 할 수 있습니다.{nl}{img arrowkey_up 40 40}{img arrowkey_down 40 40}{img arrowkey_left 40 40}{img arrowkey_right 40 40}	combinations can enable you to move diagonally. {nl} {img arrowkey_up 40 40} {img arrowkey_down 40 40} {img arrowkey_left 40 40} {img arrowkey_right 40 40}
ETC_20150211_002313	{nl} {nl}캐릭터를 이동시키면 스태미나가 소모됩니다.	{Nl} {nl} When you move the character stamina is consumed.
ETC_20150211_002314	점프를 사용하면 낮은 장애물을 뛰어넘거나 높은 곳에 올라갈 수 있습니다.	Use jump to cross over hurdles or climb up higher areas.
ETC_20150211_002315	{img X 40 40}키 이용하여 점프를 사용할 수 있습니다.	Use {Img X 40 40} key to make your character jump.
ETC_20150211_002316	범위 내의 적을 공격하여 피해를 줄 수 있습니다.	Attack and cause damage to enemies within range.
ETC_20150211_002317	{img Z 40 40}키를 이용하여 캐릭터별 기본공격을 할 수 있습니다.	Use {Img Z 40 40} key for normal attack.
ETC_20150211_002318	{img Z 40 40}키를 연타하거나 계속 누르고 있으면 연속공격을 할 수 있습니다.	Hold down or keep pressing {Img Z 40 40} key to make continuous attacks.
ETC_20150211_002319	{nl} {nl}{img Ctrl 40 40}키를 이용하면 타겟을 고정할 수 있습니다.	{nl} {nl} Use {img Ctrl 40 40} key to secure target.
ETC_20150211_002320	{nl} {nl}{img Alt 40 40}키를 이용하면 이동 중 즉시 캐릭터를 멈출 수 있습니다.	{nl} {nl} Use {img Alt 40 40} key to stop character movement immediately.
ETC_20150211_002321	{img SPACE_BIG 60 40}키를 이용하면 현재 타겟을 즉시 바라봅니다.	Use {img SPACE_BIG 60 40} key to face the current target.
ETC_20150211_002322	지도를 사용하여 현재 자신의 위치와 중요지역을 확인할 수 있습니다.	You can use the map, you can now to confirm their position and the important region.
ETC_20150211_002323	{img M 40 40}키를 사용하여 현재 위치한 지역의 지도를 확인할 수 있습니다.{nl} {nl}	You can use the {img M 40 40} key, you can check the regional map of the current position. {Nl} {nl}
ETC_20150211_002324	{nl} {nl}미니맵 아이콘은 현재 지역에 위치한 정보나 {nl}NPC를 표시합니다.{nl}{img minimap_leader 25 25} : 현재 플레이어의 위치를 나타내는 아이콘 입니다.{nl}{img minimap_1_MAIN 25 25} : 현재 진행중인 퀘스트의 목표지점을 나타냅니다.{nl}{img minimap_0 25 25} : 현재 지역의 중요NPC의 위치를 나타냅니다.{nl}{img minimap_goddess 25 25} : 현재 지역의 워프장치를 나타냅니다.{nl}{img minimap_board 25 25} : 현재 지역의 중요정보를 담고있는 게시판을 나타냅니다.{nl}{img minimap_portal 25 25} : 다른지역으로 이동할 수 있는 통로를 나타냅니다.{nl} {nl}	{Nl} {nl} mini map icon displays the location information and {nl} NPC in the current region. {Nl} {img minimap_leader 25 25}: This is the icon that indicates the position of the current players. {Nl} {img minimap_1_MAIN 25 25}: I shows the target point of Quest currently in progress. {Nl} {img minimap_0 25 25}: I shows the position of the important NPC of the current region. {Nl} {img minimap_goddess 25 25}: I shows the warp device current region. {Nl} {img minimap_board 25 25}: I represent the bulletin board that contain important information for the current region. {Nl} {img minimap_portal 25 25}: it indicates a passage that can be moved to another area. {Nl} {nl}
ETC_20150211_002325	한 번도 가보지 못한 지역은 지도에 해당 지형이 보이지 않습니다.	Area that has not been done even once does not see the terrain corresponding to the map.
ETC_20150211_002326	탐사를 완료한 지역은 지도에 해당 지형이 표시됩니다.	Terrain corresponding to the area map you have completed the exploration will be displayed.
ETC_20150211_002327	{img N 40 40} 키를 이용하여 월드맵을 확인할 수 있습니다.{nl}방문하지 못한 지역은 월드맵에 표시되지 않으며 한 번이라도 방문한 지역은 월드맵에 활성화 됩니다.	{Img N 40 40} using the key, you can see the world map. and {nl} not visiting the region is not displayed on the world map, the region was visited at least once, will take effect in the world map.
ETC_20150211_002328	활성화된 지역은 마우스를 가져다 대면 해당 지역의 지도를 확인할 수 있습니다.	Active region, and the mouse, you can check the map of the area.
ETC_20150211_002329	기본정보	Basic information
ETC_20150211_002330	인벤토리	Inventory
ETC_20150211_002331	인벤토리를 통해 장착중이거나 소지중인 아이템과 보유중인 재화, 무게를 확인할 수 있습니다	Goods that hold an item that has been installed in or possession through the inventory, you will be able to confirm the weight
ETC_20150211_002332	{img F2 40 40}키를 사용하여 인벤토리창을 이용할 수 있습니다.	{Img F2 40 40} using the key, you can use the inventory window.
ETC_20150211_002333	{nl} {nl}인벤토리창의 상단은 현재 캐릭터가 각 부위별로 장착 중인 장비입니다{nl} {nl}	{Nl} {nl} The top inventory window is a device that the current character is attached to each site {nl} {nl}
ETC_20150211_002334	{nl} {nl}하단은 현재 인벤토리에 들어와 있는 아이템들입니다.{nl}인벤토리의 아이템들은 종류별로 표시됩니다.{nl} {nl}	The bottom of the {nl} {nl} is an item that contains the current inventory. {Nl} inventory items will be displayed by type. {Nl} {nl}
ETC_20150211_002335	{nl} {nl} 최하단은 현재 인벤토리의 아이템들의 무게 총합과 소지중인 메달과 실버를 보여줍니다.{nl} {nl}	{Nl} {nl} bottom, shows medals and silver in possession with the total weight of the current inventory item. {Nl} {nl}
ETC_20150211_002336	퀘스트창을 통해 현재 수행 가능한 퀘스트 정보를 확인할 수 있습니다.	You can check your quests using the Quest window.
ETC_20150211_002337	{img F5 40 40}키를 사용하여 현재 수행중인 퀘스트 목록을 확인할 수 있습니다.{nl} {nl}	Use {Img F5 40 40} key to view the list of quests in progress. {Nl} {nl}
ETC_20150211_002338	{nl} {nl}퀘스트 진행 상태 표시{nl} {img minimap_1_MAIN 24 24} : 메인퀘스트 시작 가능{nl} {img minimap_2_MAIN 24 24} : 메인퀘스트 진행 중{nl} {img minimap_3_MAIN 24 24} : 메인퀘스트 완료 대기{nl} {img minimap_1_SUB 24 24} : 서브퀘스트 시작 가능{nl} {img minimap_2_SUB 24 24} : 서브퀘스트 진행 중{nl} {img minimap_3_SUB 24 24} : 서브퀘스트 완료 대기{nl} {nl}	{Nl} {nl} Quest Status {nl} {img minimap_1_MAIN 24 24}: Main quest available {nl} {img minimap_2_MAIN 24 24}: Main quest in progress {nl} {img minimap_3_MAIN 24 24}: Main quest ready to complete {nl} {img minimap_1_SUB 24 24}: Sub-quest available  {nl} {img minimap_2_SUB 24 24}: Sub-quest in progress {nl} {img minimap_3_SUB 24 24}: Sub-quest ready to complete { nl} {nl}
ETC_20150211_002339	알아보고자 하는 퀘스트 목록을 선택하면 상세 정보를 확인할 수 있습니다.	Select the quest to view detailed quest information.
ETC_20150211_002340	포기 버튼이 활성화된 퀘스트는 	If the Abandon button is enabled, you can
ETC_20150211_002341	포기	Abandon
ETC_20150211_002342	할 수 있습니다.{nl} {nl}	the quest. {Nl} {nl}
ETC_20150211_002343	포기한 퀘스트는 상단의 	Abandoned quest can be checked in 
ETC_20150211_002344	탭에서 확인할 수 있습니다.{nl} {nl}	 tab. {Nl} {nl}
ETC_20150211_002345	재시작	Restart
ETC_20150211_002346	 버튼을 누르면 포기한 퀘스트를 즉시 시작할 수 있습니다.{nl} {nl}	 the quest immediately by using the Restart button. {Nl} {nl}
ETC_20150211_002347	스킬창을 통해 캐릭터의 스킬을 관리할 수 있습니다.	You can manage character's skill through the Skill window.
ETC_20150211_002348	{img F3 40 40}키를 사용하여 스킬창을 이용할 수 있습니다.	Use {Img F3 40 40} key to open Skill window.
ETC_20150211_002349	{img skillup 40 40}버튼을 클릭하여 스킬레벨을 올릴 수 있습니다.	Click {img skillup 40 40} button to raise the skill level.
ETC_20150211_002350	스킬 레벨을 올린 뒤 적용을 누르면 스킬 레벨이 상승합니다.	Press Apply to increase skill level.
ETC_20150211_002351	레벨을 올린 스킬은 슬롯에 추가됩니다.	Skills that you learn will be added to the keyboard slot.
ETC_20150211_002352	특성	Attributes
ETC_20150211_002353	마스터 NPC에게 특성을 학습하면 캐릭터를 더욱 강하게 성장시킬 수 있습니다.	Learn attributes from Master NPCs to make your character stronger.
ETC_20150211_002354	각 클래스별 마스터NPC를 통해 특성을 학습할 수 있습니다.	You can learn the attributes from the master NPC of each class.
ETC_20150211_002355	{nl} {nl}특성을 학습하기 위해선 적정량의 실버가 필요합니다. 또한 각 특성별로 학습을 완료하는데 필요한 시간이 있습니다{nl} {nl}	{nl} {nl} You need silver to learn attributes. Also, each attribute requires time to master. {nl} {nl}
ETC_20150211_002356	특성은 학습이 완료되어야 사용할 수 있습니다	You can use attributes when it is complete mastering it.
ETC_20150211_002357	{nl} {nl}학습을 시작한 특성은 자동으로 등록되며 특성을 학습하는 동안은 다른 특성을 학습할 수 없습니다.{nl} {nl}	{nl} {nl} Attributes are automatically registered when you start learning. You cannot learn new attributes until you finish mastering attribute.{nl} {nl}
ETC_20150211_002358	{nl} {nl}학습을 완료한 특성은 스킬창 하단의 특성 목록에서 확인할 수 있습니다.{nl} {nl}	{nl} {nl} You can check the attributes that you mastered at the bottom of the skill window. {nl} {nl}
ETC_20150211_002359	{nl} {nl}특성은 상황에 맞춰 키거나 끌 수 있습니다.{nl} {nl}	{nl} {nl} Attributes can be enabled or disabled depending on the situation. {nl} {nl}
ETC_20150211_002360	모험일지	Adventure diary
ETC_20150211_002361	모험일지를 통해 게임플레이 진행도를 확인하거나 캐릭터 랭킹을 확인할 수 있습니다.	You can check the progress of the game play through the adventure diary, you will be able to confirm the character ranking.
ETC_20150211_002362	{img F4 40 40}키를 사용해서 모험일지 창을 이용할 수 있습니다.	{Img F4 40 40} It is possible to take advantage of the adventure diary window using the key.
ETC_20150211_002363	{nl} {nl}모험일지의 각 목록별로 갱신된 캐릭터의 점수와 랭킹을 확인할 수 있습니다.{nl} {nl}	{Nl} {nl} You can check the score and ranking of characters that have been updated for each list of adventure diary. {Nl} {nl}
ETC_20150211_002364	모험일지의 달성 보상은 도시에 위치한 	Achievement reward of adventure diary is located in city
ETC_20150211_002365	바이보라의 날개	Wing you can see by
ETC_20150211_002366	 NPC에게서 받을 수 있습니다.	You can get from the NPC.
ETC_20150211_002367	파티	Party
ETC_20150211_002368	다른 플레이어와 파티를 맺고 함께 게임을 진행할 수 있습니다.	You can proceed with the game together and formed a party with other players.
ETC_20150211_002369	파티를 맺고자하는 캐릭터에게 다가가 마우스 우클릭 후 	After you right-click on it closer to the character you are going Musubo a party
ETC_20150211_002370	파티초대	Party invitation
ETC_20150211_002371	를 선택하여 파티에 파티를 생성할 수 있습니다.	Select the, you can create a party to the party.
ETC_20150211_002372	파티 생성은 파티에 속하지 않았을 때만 생성 가능합니다.{nl}상대방이 파티 초대를 수락하면 초대와 함께 자동으로 파티가 생성됩니다.	Party created is only possible to generate if it does not belong to the party. {Nl} When the call is accepted the invitation of the party, will automatically be created party along with the invitation.
ETC_20150211_002373	파티에 초대된 캐릭터의 정보는 좌측 상단의 파티원 초상화를 우클릭 후 	Character of the information that has been invited to the party, right-click the portrait of the upper left corner of the party members,
ETC_20150211_002374	파티정보	Party information
ETC_20150211_002375	를 통해 확인할 수 있습니다.	You can check in.
ETC_20150211_002376	혹은 단축키 {img F6 25 25}키를 사용하여 빠르게 확인할 수 있습니다.	Or shortcut {img F6 25 25} You can use the key you will be able to easily check.
ETC_20150211_002377	파티 정보의 	Party information
ETC_20150211_002378	탭에서 파티를 좀 더 효과적으로 관리할 수 있습니다.	You can be more effectively manage the party in the tab.
ETC_20150211_002379	파티 가입조건과 아이템 분배 규칙, 경험치 분배 규칙, 퀘스트 공유를 설정할 수 있습니다.	Party join conditions and item distribution rules, experience value distribution rules, you will be able to set the share of Quest.
ETC_20150211_002380	파티원들의 초상화를 클릭하여 파티원들을 관리할 수 있습니다.	Click the party members of the portrait, you will be able to manage the party members.
ETC_20150211_002381	파티를 떠나고 싶다면 	I want to leave the party
ETC_20150211_002382	탈퇴	Withdraw
ETC_20150211_002383	를 선택하여 파티에서 나갈 수 있습니다.	Select the, you will be able to go at a party.
ETC_20150211_002384	전투	Combat
ETC_20150211_002385	몬스터 정보	Monster information
ETC_20150211_002386	몬스터를 바라보거나 다가가면 몬스터 정보창을 확인할 수 있습니다.	You can look at the monsters, you will be able to view the monster information window approaches.
ETC_20150211_002387	몬스터 정보 창에서 해당 몬스터의 레벨과 이름, 체력 상황을 확인할 수 있습니다.	In monster information window, you can check the level and the name of the appropriate monster, the situation of physical fitness.
ETC_20150211_002388	특정 클레스는 몬스터의 정보를 추가로 확인할 수 있습니다.	Particular class stub can check additional information of monsters.
ETC_20150211_002389	소모된 HP/SP/스태미나는 아래 기능을 통해 회복할 수 있습니다.	HP / SP / stamina consumed can be recovered by using the following functions.
ETC_20150211_002390	[자연회복] : 	[Natural recovery] : 
ETC_20150211_002391	스탯을 기준으로 	 status affects 
ETC_20150211_002392	체력회복속도	HP recovery rate.
ETC_20150211_002393	에 비례하여 회복	recover in proportion 
ETC_20150211_002394	자연회복은 다른 회복 방법에 비해 매우 느리게 회복되지만 별도의 조작이나 조건이 필요하지 않습니다.	Natural recovery is slow compared to other recovery methods, but it does not require the player to do anything.
ETC_20150211_002395	[포션회복] : 사용한 포션에 따라 HP/SP/스태미나를 즉시 회복시켜 줍니다.	[Potion Recovery] : Recover HP/SP/Stamina immediately using potions.
ETC_20150211_002396	포션 사용 시 재사용 대기시간이 있습니다.	Potions have cooltimes before you can reuse.
ETC_20150211_002397	[나무뿌리 수정 파괴] : 나무뿌리 수정을 파괴하면 스태미나가 회복됩니다.	[Tree Root Crystal] : Destroy Tree Root Crystals to recover Stamina.
ETC_20150211_002398	나무뿌리 수정은 필드 곳곳에 무작위로 생성됩니다.	Tree Root Crystals are randomly generated around the field.
ETC_20150211_002399	[휴식모드 활용] : 휴식모드에서 모닥불을 추가로 사용하면 더 빠르게 회복할 수 있습니다.	[Rest Mode] : Using bonfire during rest mode speeds up your recovery.
ETC_20150211_002400	휴식모드시 자연회복보다 더 빠르게 회복되지만 모닥불을 키면 더 빠르게 회복됩니다.	Recovery in Rest mode is faster than Natual recovery and it is even faster if you use bonfire during Rest mode.
ETC_20150211_002401	강력한 마무리 공격으로 몬스터를 처치하면 오버킬이 발동됩니다.	Overkill is triggered when defeat the monsters with a strong finish attack.
ETC_20150211_002402	캐릭터의 강력한 공격스킬로 몬스터의 남은 HP보다 많은 데미지를 줄 경우 오버킬이 발생됩니다.	If a powerful attack skills of character and gives a lot of damage than the rest of the HP monster, Overkill will occur.
ETC_20150211_002403	나무뿌리 수정을 파괴하면 스태미나를 회복할 수 있습니다.	You can recover the stamina when you destroy the root of the tree modification.
