QUEST_20150211_000001	퀘스트 수정이 필요한 유저를 선택해주세요.	Please select the required user quest fixes.
QUEST_20150211_000297	이런.. 안타깝습니다. 다시 도전해 보세요.	Such is .. I'm sorry. Please try to challenge again.
QUEST_20150211_000298	오 대단한걸? 맞췄어!	Oh amazing thing? Topping!
QUEST_20150211_000299	아니야. 다시 해 봐.	No. Try again.
QUEST_20150211_000300	잘했어. 아주 좋아요!	Well I did it. Very good!
QUEST_20150211_000301	틀렸네요. {nl}아까운데 다시 도전해 보는건 어때요?	It was it away frame. How do you try to challenge again for {nl} a waste?
QUEST_20150211_000302	계단 위쪽은 페디미안의 상징인 거대 여신상이 있는 신성한 곳입니다. {nl}모든 신도들은 의복을 정갈히 하고 조용히 경배 하시기 바랍니다.	Stairs top is a sacred place where there is a huge statue is a symbol of not Pedy sorry. {Nl} all the believers, please quietly worship by Jongaruhi clothes.
QUEST_20150211_000303	페디미안은 4년 전 그날에 이 지경이 되었지.. {nl}참 아름답고 활기찬 도시였는데 말이야. {nl}그래도 중앙 여신상이 있는 신성지구라도 남아있으니 얼마나 다행인가.	The there is Fedimian, that day four years ago, this situation has become. {Nl} It was a city filled with true beautifully vibrant. {Nl} still because there are still sacred earth where there is a central statue I have fortunately.
QUEST_20150211_000304	페디미안은 원래 상업지구와 신성지구, 이 두 구역으로 나누어져 있었지.{nl}하지만 4년 전의 그 일로 상업지구는 완전히 파괴되어 버렸고..{nl}	There is Fedimian, but I had divided the original commercial district and God district, in the two zones. Commercial district of {nl} that day four years ago would be completely destroyed ... {nl}
QUEST_20150211_000305	뭐, 그나마 여기 신성지구라도 남아 있는 게 다 여신의 은총 아니겠는가. 	Well, if it even is also not grace is multi-goddess of remaining here too sacred earth.
QUEST_20150211_000306	나야 뭐 그저 여기 페디미안에서 늙어가는 평범한 노인 아니겠나. {nl}더 많은 게 알고 싶다면 맛있는 감자만두라도 들고 와서 이야길 하던지..	Is it I'm not what just here Fedimian mediocre old man out of date. Do you want a lot of things to know than {nl} is, to talk to come also has delicious potato dumplings.
QUEST_20150211_000307	아닌 게 아니라 페디미안의 음식은 정말 맛이 없어. {nl}내가 죽기 전에 맛있는 음식을 다시 맛보는 날이 올까?	There is Fedimian of food, rather than not really have no taste. {Nl} I day re-taste the delicious food before you die will come?
QUEST_20150211_000308	페디미안 신성지구입니다. 여신의 은총이 가득하길 바랍니다.	There is Fedimian it is God's Earth. Please become a blessing full of goddess.
QUEST_20150211_000309	현재 상업지구는 재건을 위해 폐쇄되어 있습니다.{nl}상기 이유로 출입을 금해주시길 바랍니다.	Current commercial district, has been closed for reconstruction. {Nl} Please Kudasaru prohibits out of the above reasons.
QUEST_20150211_000310	페디미안 신성지구는 참배객 여러분들을 환영합니다.	God of Earth Fedimian, you welcome your worshipers.
QUEST_20150211_000311	적극적으로 협조해 줘서 고마웠어. 우린 다시 이곳에서 조사를 계속 할 생각이야. {nl}너도 힘내!	And thankful to me to actively cooperate. We believe that continuing the investigation and from back here. {Nl} Mr. Good luck!
QUEST_20150211_000312	일을 다 끝낸 거야? 너도 정말 대단한걸? 역시 계시자야.	Do you have finished all the work? Thing you really great? Still clearly Jaya.
QUEST_20150211_000313	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 것이 화를 부른 건 아니었을까?	When the favor is continued, it was a story to know that it is right. {Nl} probably wonder we are not too the also called the story is that only in the inclined devoted goddess?
QUEST_20150211_000314	병사 피트	Soldier feet
QUEST_20150211_000315	계시자님이십니까? {nl}와, 말로만 들었었는데, 이렇게 뵙게 되다니 영광입니다!	Is revelation bidder? And {nl}, where it was heard only in words, it is an honor to Nante become suis!
QUEST_20150211_000316	병사 브란	Soldier Blanc
QUEST_20150211_000317	선두에 서서 적을 휩쓰는 것이 제 꿈이었습니다! {nl}어렸을 적부터 말입니다.	Standing on top to steal the enemy was my dream! I from time {nl} small.
QUEST_20150211_000318	훈련병 몰트	Training soldiers malt
QUEST_20150211_000319	계시자님께서 그렇게 애써 주셨는데도 몬스터놈들은 줄어들지를 않으니..	To revelation bidder who have worked that way, people of monsters because it does not reduce.
QUEST_20150211_000320	지휘관 라이몬다스	Commander Kaminarimon dozen
QUEST_20150211_000321	계시자랍시고 몰려드는 어중이떠중이들이 하루에도 엄청나게 몰려오지.{nl}자네도 그중 한 명인가?	Revelator Rapushigo surging lower classes is coming together incredibly a day. {Nl} Are you also one of them
QUEST_20150211_000322	계시자를 많이 만나봤지만, 자네는 인정할 수밖에 없군. {nl}수고했네. 또 볼 날이 있겠지.	Although apparently tried to meet a lot of character, I you have to admit. {Nl} was trouble. In addition, there will be a day of the ball.
QUEST_20150211_000323	약초꾼	Yakuchokun
QUEST_20150211_000324	저에게 무슨 볼일이라도?	I also what errands?
QUEST_20150211_000325	눈에 보이는 것이 전부는 아닙죠. 헤헤..	What is visible is not all. Previous.
QUEST_20150211_000326	교관 닉커	Instructor Nikuko
QUEST_20150211_000327	한 명의 흐트러진 병사가 전 부대원을 위험하게 만든다. {nl}그렇기 때문에 때론 잔혹할 정도의 엄격함을 갖추어야 한다.	One of disturbed soldiers to risk the front members. {Nl} Therefore, it must be equipped with the severity of about sometimes cruel.
QUEST_20150211_000328	이젠 인정할 수밖에 없겠군. 여신의 꿈을 쫓는 계시자라. {nl}쉽지는 않은 길이겠지만, 잘해낼 거라 믿네.	I'm not but admit anymore. Obviously grew up chasing the dream of goddess. {Nl}'s length is not easy, but Mitone would get the job done.
QUEST_20150211_000329	계시자인가? 수고했다는 말은 하겠으나 믿을 수 있는지는.. 글쎄.	Whether the story is believed Hagetouna that had a hard time if it were a revelation person. Oh dear.
QUEST_20150211_000330	민간 군무원	Private military service members
QUEST_20150211_000331	혼란한 세상에서 살아남기 위해서는 비열한 술수도 필요할 때가 있을 겁니다.{nl}그렇게 나쁘게만 생각할 일은 아니라고 봅니다.	In order to survive in the chaotic world, intermediate ploy also would be required. {Nl} I think it is not to think so Napugeman.
QUEST_20150211_000332	답답하면 직접 뛰는 게 맞겠지요.{nl}그래서 군인이 되었습니다.	Painful and will to the run directly is correct. {Nl} So There are soldiers.
QUEST_20150211_000333	어렸을 때부터 정의의 용사 이야기 같은 것을 듣고 자랐지만, 그냥 동화라고 생각했는데..{nl}지금은 진짜로 그런 게 있겠구나 싶네요.	Although grew up listening to the kind of story the definition of hero from an early age, I but I thought it just assimilation is'd say such a thing .. {nl} is now actually.
QUEST_20150211_000334	요크	York
QUEST_20150211_000335	여신께선 우리를 버렸을 지 몰라도, 계시자님이 계시기에 든든합니다.	Because although goddess Quezon might have closed us, doth revelation bidder, it is encouraging.
QUEST_20150211_000336	고향으로 돌아가고 싶습니다.. {nl}보급품을 목 빠지게 기다리기만 해야 하는 것도 힘들고요.{nl}언제 끝날지도 알 수 없는 이 상황도 정말 지치고요. 에휴..	You would like to return to his hometown. {Nl} also very fact that it is only waiting for fall neck supplies. {Nl} I do not know Maybe when end up this situation also tired really. Pedestal.
QUEST_20150211_000337	잠시만이라도 갑갑한 전투복과 군화를 벗어 던지고 싶을 때가 나도 있네.{nl}가족의 안전을 생각해서 그냥 참는 거지.{nl}	When some time you want to shed a cramped combat clothing and combat boots, I guess. You've got to put up with just thinking {nl} family of safety. {Nl}
QUEST_20150211_000338	나야 시인이 아니고 뼛속까지 군인이니 뭐라고 정확히 짚어서 말은 못하겠는데.. {nl}자넨 좀.. 뭔가 특별하군.{nl}어쨌든 먼 곳에서나마 소식을 전해 들을 수 있다면 좋겠군.	Hagetonunde it what exactly Jipuoso words not because military personnel to the bone rather than my poet. {Nl} felt have acquired ... something special why. {Nl} anyway Jotogetogun to be able to hear the news just far.
QUEST_20150211_000339	노점 상인	Street vendors
QUEST_20150211_000340	없는 것 빼고 다 있는 노점상입니다요.{nl}지금은 보다시피 휴업 상태지만요.	Those without is a stall that there is all. Although I is state holiday As you can see the {nl} now.
QUEST_20150211_000341	비문	Inscription
QUEST_20150211_000342	읽을 수 없다.	can not be read.
QUEST_20150211_000343	이 탁본을 볼 때마다 스미드가 생각날 겁니다.{nl}	Smith Every time I see this rubbings is thought will not. {Nl}
QUEST_20150211_000344	알림	Notification
QUEST_20150211_000345	자카리엘 왕, 이곳에서 잠들다.	Zasharieru King, here in fall asleep.
QUEST_20150211_000346	제미나 여신의 가호가 빛나는 도시, 페디미안의 신성지구입니다.	Car is shining city of the Mina goddess, is a sacred area of ??Fedimian.
QUEST_20150211_000347	안전을 보장 드릴 수 없으니 통행을 삼가 주십시오.{nl}기타 문의 사항은 연락관 닐스를 찾아가십시오.	It is not possible to guarantee the safety, should refrain path. {Nl} other inquiries Go find the contact officer Nils.
QUEST_20150211_000348	비석	Zeolite
QUEST_20150211_000349	파손되어 읽을 수 없다.{nl}옆에 서 있는 마을 사람에게 물어 보자.	can not be read is damaged. Let's ask the people of the town standing next to the {nl}.
QUEST_20150211_000350	병사의 일지	Diary of soldier
QUEST_20150211_000351	군용 배낭에서 병사의 일지를 발견했다.	I found a diary of soldiers in military backpack.
QUEST_20150211_000352	자카리엘의 용맹한 수호자	Brave guardian of Zasharieru
QUEST_20150211_000353	정답이다.{nl}봉인을 해제하겠다.	Is a correct answer. {Nl} I to release the seal.
QUEST_20150211_000354	정답이 아니다.{nl}허나 다시 도전할 기회를 주겠다.	Not a correct answer. {Nl} But, I will give the opportunity to challenge again.
QUEST_20150211_000355	자카리엘의 충직한 수호자	Faithful guardian of Zasharieru
QUEST_20150211_000356	죄송합니다.{nl}허가를 받으셔야 케이블카를 이용하실 수 있습니다.	I feel bad. There is a need to obtain permission of {nl}, offers a cable car.
QUEST_20150211_000357	릴리야의 메아리	Echo of Lily-chan
QUEST_20150211_000358	저 풀더미에 뭔가 묻혀 있는 게 아닐까?	Do not you have something buried in the mountains of the pool?
QUEST_20150211_000359	저는 왜.. 도대체 왜.. 아아.. 저를 살려주세요. {nl}아니 죽게 내버려 두세요..	Why me..what why me .. arar .. Please save me. {nl}ok..just leave me to die..
QUEST_20150211_000360	죽어가면서도 그녀가 찾던 건 뭐였지?{nl}어쨌건 뭔가 슬픈 사연임에는 틀림 없다.	Even while dead, Did what she was looking for? {Nl} In any event, no doubt that it is a something sad circumstances.
QUEST_20150211_000361	마군주의 속셈따위 알 수는 없지만.. 저를 이렇게 살려 두고 이 순례자의 길을 지나는 사람들에게서 그녀가 찾고 있는 뭔가의 단서를 얻어보려는 게 아니었을까  싶습니다.아, {nl}너무 어지럽군요..	I do not know Nante heaven attention ulterior motives ... and keep alive me so, and I think I would not to display to give something of clues that she is looking for from people passing through the road of this pilgrimage. Oh, dizziness too {nl}.
QUEST_20150211_000362	곧 터짐	Immediately emission
QUEST_20150211_000363	헌금 양 정하기	I decide the donation amount
QUEST_20150211_000364	헌금 예정 금액	Donation will amount
QUEST_20150211_000365	헌금양틀렸을때-아무일없음(벌룬메시지)	When you are wrong donation amount - without any days (balloon message)
QUEST_20150211_000366	헌금의 양이 틀렸나? 아무 일이 없다. 다시 헌금을 시도 해 보자.	Amount of donation is To~ururyotona? There is no what thing. Let's try to donations again.
QUEST_20150211_000367	지금은 정말 실버가 부족하구나..	I really lack silver now.
QUEST_20150211_000368	바카리네 여신상	Statue of Goddess Vakarine
QUEST_20150211_000369	어느 경우를 선택하시겠습니까?	Are you sure you want to select in each case?
QUEST_20150211_000370	적갈나무 단층숲의 그 성소가 오염되었다는 소식은 듣고 있지.{nl}나크티스의 짓이라는 건 마스터들이라면 다 알고 있는 것이고.{nl}내가 파는 정화부를 사서 성소에서 불태운다면 아마 그 성소는 정화가 될 거야. {nl}어때, 사겠는가?	Basis Garunamu news the sanctuary has been contaminated fault forest does not have heard. {Nl} it's called doing the Nakutisu would know everyone if master us. {Nl} If I was burned in the holy place to buy a purification unit to sell, perhaps the sanctuary, they become purification. How, do buy {nl}?
QUEST_20150211_000371	안타깝군.	Antakapugun.
QUEST_20150211_000372	축복의 성소	Sanctuary of blessing
QUEST_20150211_000373	헌금 하시겠습니까?	Would you like to donate?
QUEST_20150211_000374	이슬이 미끄러져서 땅에 떨어져 버렸다. 기운이 쭉 빠져 버렸다.	Dew I fell to the ground slipped. Spirited had fallen much.
QUEST_20150211_000375	나크티스와 그 무리들은 아마도 대성당에 들어가기 위한 단서를 찾고 있는 것이 아닐까 합니다. {nl}	Nakutisu and its flock is perhaps not looking for a clue to enter the cathedral. {Nl}
QUEST_20150211_000376	나크티스는 제스티의 충직한 부하이고.. 그에게 인정받기 위해 무슨 일이든 할테니.. 순례자의 길을 그렇게 만드는 이유는 아마도, 대성당 진입의 단서를 찾아 제스티의 인정을 받기 위함이 아니겠습니까. 아, 그렇다면 이미 나크티스는 대성당에 진입을 한 것일까요..?	Nakutisu is a loyal subordinates of the Constitution, .. because what also is in order to be admitted to him. Reason to do so the way of pilgrims, perhaps, find the clues of the cathedral entrance, or would not be in order to receive the certification of the stay. Oh, Well another Nakutisu is, what was the entrance to the cathedral ..?
QUEST_20150211_000377	열리지 않는다. 열쇠가 어디 있을까?	Not open. Or key where to find?
QUEST_20150211_000378	도대체 무슨 사연이었을까? {nl}갇혀 있던 영혼은 경전만 주고 사라져 버렸다.	Is it was hell what circumstances? {Nl} soul that had been trapped gives the scriptures I have disappeared.
QUEST_20150211_000379	약효가 정말 있는 건가?	Whether medicinal there really?
QUEST_20150211_000380	목소리	Voice
QUEST_20150211_000381	안쪽에서 수상한 낌새가 느껴진다.	Sign that was awarded from the inside is felt.
QUEST_20150211_000382	걱정 많은 부인	Worried wife
QUEST_20150211_000383	자네 점 본 적 있나? 정말 잘 맞지?{nl}모든 건 라이마 여신께서 알고 계시지. 운명과 예지, 행운도 관장하셔.{nl}어쩌면 이 모든 재앙을 라이마 여신께서도 알고 계셨는지도 몰라.	Have you been to fortune telling? It is quite accurate isn't it? {Nl} Goddess Laima knows everything. Fate, Forsight, and Luck.  {Nl} I think She may have known beforehand about all these disasters coming.
QUEST_20150211_000384	난 가비야 여신께 매일 기도를 드려. 그래야 집이 항상 따뜻하거든.{nl}자네도 알겠지만, 가비야 여신께선 불을 관장하는 여신이시잖수?{nl}난 아무래도 주부니까 불이랑 제일 친하지 않겠어? 	I pray to Goddess Gabija everyday. It keeps the house warm. {Nl} As you may know, Goddess Gavia fosters fire {Nl} and being a housewife, I just can't stay far from the fire. 
QUEST_20150211_000385	우리 바깥양반은 제미나 여신께 항상 기도를 올린다우.{nl}감자가 잘 자라려면 제미나께 밉보이면 안 되거든.{nl}제미나 여신께선 대지의 여신이시지. 따라서 농경과 작물도 관여하셔.{nl}	My husband always prays to Goddess Zemyna. {Nl} If you want a good potato harvest, you should not get on her wrong side. {Nl} Goddess Zemyna is the Goddess of Earth. She also oversees the farms and agriculture. {Nl}
QUEST_20150211_000386	그래서 그런데 말이야. {nl}4년 전 신수의 날 때부터 지금까지 주욱 식물들이 폭주하고 있는 거 말이우.{nl}	Speaking of such..{Nl} About the plants mutating since four years ago..{Nl}
QUEST_20150211_000387	제미나 여신께선 어떤 생각이실지 모르겠어. {nl}모든 건 여신께서 다시 나타나셔야 알겠지만.. 어머, 내가 무슨 불경스런 소리람.	I wonder how Goddess Zemyna will think about it. {Nl} Everything will be revealed when the Goddess returns but... {Nl}Oh, what blasphemous words am I speaking.
QUEST_20150211_000388	자네 밤하늘에 붉게 반짝이는 별을 본 적이 있나?{nl}그게 바로 바카리네 여신의 상징일세. {nl}저녁 별을 이끄시고 다음 날 아우슈리네 여신을 깨우시지.{nl}	Have you ever seen the stars glittering red in the night sky? {Nl} That's the very symbol of Goddess Vakarine. {Nl} She leads the evening star and wakes Goddess Ausrine the following day  {Nl}
QUEST_20150211_000389	활력과 휴식도 관장하시니 자네 같은 여행자들의 수호신이시기도 해.{nl}만약 발이 아프면 바카리네 여신의 이름을 세 번 외면 효과가 있을 거야.{nl}	She also oversees energy and rest so she is the guardian of travelers like you. {Nl} Shout Goddess Vakarine's name three times when your legs hurt and you'll feel much better. {Nl}
QUEST_20150211_000390	)}여기엔 무슨 일이지?{nl}자네도 꿈에 여신께서 클라페다로 가라 하시던가?{nl}{nl}	)} What are you doing here? {Nl} Did the Goddess also tell you to go to Klaipeda in you dreams? {Nl} {nl}
QUEST_20150211_000391	그렇게 당하고도 날 쫓아 오는구나.{nl}그래. 어디 마음껏 발버둥쳐 보아라.	I'm coming chasing I also beaten so. {Nl} Yes. Where fully to struggle behold.
QUEST_20150211_000392	이곳 성도 페디미안 근처에는 대마법사 아가일라 플러리가 세웠다고 하는 마법사의 탑이 있습니다.{nl}그 탑은 단 한 번도 그 모습을 드러낸 적이 없고 입구를 발견한 사람도 없죠. {nl}	Here Chengdu near Pedy Sorry, there are large witch Argyle and plug Liga vertical tower of the wizard. {Nl} The tower, once also not be representative of the figure, there is no person who discovered the entrance. {Nl}
QUEST_20150211_000393	뭐, 그 때문에 지어낸 이야기라는 말도 있었습니다만..{nl}최근에 갑자기 마법사의 탑에서 왔다고 주장하는 외지인들이 늘고 있습니다.	Well, the reason, but there was also the word myth. {Nl} suddenly recently, people outside that are claimed to have come from the tower of the wizard has been increasing.
QUEST_20150211_000394	성도 페디미아 중앙에 계시는 제미나 여신상의 크기는 무엇을 상상하든 당신의 상상을 초월할 겁니다.{nl}대지진 때문에 하반신이 땅에 묻혀버렸어도 말이죠.{nl}나머지 상반신도 너무 거대해서 한 눈에 보는 건 절대 불가능 할 겁니다.	Chengdu Pedimia whether the magnitude of the Mina image to be woven into the center to imagine what, you will Advancement your imagination. I also lower body had buried in the ground for {nl} Earthquake. {Nl} rest of the upper body, it is absolutely impossible to see in the eyes too huge.
QUEST_20150211_000395	어서오게. 우스카에게 대강의 이야기는 들었네.{nl}멀뚱히 서 있지 말고 가까히 오게. 자네와 얘길 좀 나누고 싶거든.	To come. Approximate talk to Usuka I heard. I come Gakahi not stand {nl} Morutsunhi. If you would like to share some talk to you.
QUEST_20150211_000396	그래. 수정광산에서 계시를 얻은게 자네라지?{nl}괜찮다면, 그 계시의 내용을 내게 자세히 들려 주었으면 좋겠군.	So. Those obtained the revelation a modified mine you Large? If you are satisfied {nl}, Jotogetogun you'd like the contents of that revelation let followed me.
QUEST_20150211_000397	놀랍군.{nl}우리도 초대 팔라딘님의 의지를 이어받아 이 일대를 지키러 온 참이거든.{nl}이 곳의 파수꾼들도 마찬가지이지.{nl}	Surprising. {Nl} is inherited our invitation paladin-like will, if there is a true who came to protect this area. {Nl} individual lookout also the same. {Nl}
QUEST_20150211_000398	여신께선 초대 팔라딘에게 여러 가지를 남기셨어.{nl}마군주 제스티의 위협이라던가, 지켜야 할 사명이라던가.{nl}그 중엔 구원자가 올 것이라는 말씀도 있었지.{nl}	The goddess Quezon invitation Paladin, some of it was Namugishoto. {Nl} Ma Toka monarch of the Institute threat, Toka mission that must be protected. {Nl} was also word rescuers come into it. {Nl}
QUEST_20150211_000399	어쨌든, 나는 전장으로 먼저 가 있을 테니 파수꾼들과 내 추종자들을 잘 도와 주게. {nl}옥빛서린 벼랑에서 만나도록 하지.	Anyway, I am a battlefield, helped improve the lookout and my followers because first there. {Nl} and I try to meet from cliff drifting of emerald.
QUEST_20150211_000400	노인의 제자	Disciple of the elderly
QUEST_20150211_000401	도자기보단 패디미안을 재건하는데 힘을 쏟는게 더 의미있을 수도 있겠지요.{nl}하지만 사람은 마음이 기댈 곳이 있어야 더 힘이 나는 법이라오.	There is no paddy Sorry than pottery and that focus on but reconstruction, there will also be more meaningful. {Nl} However, people bamboo basket is more force private law if there is no place where the mind is inclined.
QUEST_20150211_000402	도자기를 빚고 나선 정성스레 소원을 적은 점토판을 넣어 놓기도 하지요.{nl}옛날 사람들이 적은 소원을 찾아 읽는 재미도 쏠쏠합니다.	I can leave politely put a clay plate who wrote the wishes out to brew the pottery. {Nl} also makes or old fun to read people find little wish.
QUEST_20150211_000403	페디미안 중년 부인	Mature Fedimian
QUEST_20150211_000404	신성지구라도 남아있어서 얼마나 다행인지.{nl}이게 다 제미나 여신께서 돌보아 주신 거야.	It's how lucky have also remains sacred earth. {Nl} I think the first Mina goddess This is it was giving me important.
QUEST_20150211_000405	그래. 훈련소장에게서 훈련의 증표를 받아 와.{nl}네녀석들이 그 훈련을 무사히 마칠 수 있다면 우리 부대에 흔쾌히 편입시켜 주도록 하지.	So. Get the proof of training from the training director, if you are able to {nl} differents finishes its training safely, it is not as me kindly incorporated is not to our troops.
QUEST_20150211_000406	자네는 훈련소에서 병사들의 안전을 책임져 줘야겠어.{nl}이 녀석들이 이렇게 흥분하는 데에 전혀 책임이 없다곤 못하겠지?	You must bear the safety of the responsibility of the soldiers at the training center. {Nl} guys have would not Gon no responsibility of any that do so stimulating?
QUEST_20150211_000407	우스카에게 자네 이야기를 듣긴 했네.{nl}하지만 여태껏 내가 만나 본 계시자들은 죄다 말라빠진 케파만도 못했어.	Were able to listen to your story to Usuka. {Nl} However, I revelation who met was not even just missing Cephas Do not altogether until now.
QUEST_20150211_000408	그러니 훈련에 앞서 자네는 약초꾼의 일을 돕게.{nl}내 병사의 안전을 책임질 수 있는지 그걸로 확인해봐야 겠어. 훈련은 그다음부터야.	So prior to the training, you will help the work of Yakuchokun. The Should it sure can be responsible for the safety of the soldiers in the {nl}. Training'm from then.
QUEST_20150211_000409	우리 아빠가 그랬는데요. {nl}클라페다도 점점 살기 힘들어진대요.{nl}	My father told me {Nl} Klaipeda is also becoming a difficult place to live. {Nl}
QUEST_20150211_000410	사려는 사람은 많은데 물건을 구하기 쉽지 않으니 큰일이래요.{nl}식량은 아직 넉넉하지만 장담할 수가 없다 그러셨어요.	Poured into big trouble because not easy to get what people often to buy it. {Nl} food'm still so generous is not able to guarantee.
QUEST_20150211_000411	몬스터 때문에 상인 아저씨들이 들어오질 못하고 있대요.{nl}아직 먹을 건 괜찮다곤 하지만, 빨리 물건이 들어와야 할 텐데..	I heard the town men can't make their way back because of the monsters. {Nl} Food is okay but the supplies will run out of stock soon..
QUEST_20150211_000412	걱정이군. 걱정이야.{nl}앞으로도 계속 이러면 이젠 어떻게 사나 몰라.{nl}여신들께선 도대체 어디로 가신 걸까나?	I'm worried how we can live if this continues? {Nl} Where have all the Goddesses gone?{Nl} 
QUEST_20150211_000413	몬스터에게서 여러가지 전리품을 얻거든 상점에 파는 것도 좋습니다만.{nl}요즘 같은 때엔 그걸로 물건을 직접 만들어 쓰는 것도 나쁘지 않지요.	It's a good idea to sell the various items you get from killing monsters. {Nl} But nowadays, using it to craft new items yourself is not too bad either. 
QUEST_20150211_000414	아무리 자급자족해서 먹고 사는 때라지만 제작서 같은 건 상인에게 사는 게 좋습니다.{nl}만드는 방법을 알아야 뭘 만들던가 하겠지요?	Although we need to be self-sufficient, things like recipes are better bought from the merchants. {Nl} You need to know how to make it before you actually craft one yourself.
QUEST_20150211_000415	반짝이는 몬스터를 보게 된다면 꼭 해치우시오. 엄청난 전리품을 얻을 수 있거든.{nl}그리고 나에게 정보료로 한 턱 쏘면 서로 기분좋지 않겠소?	If you see sparkling monsters, be sure to kill it. You might get some great items as trophies. {Nl}  And what about buying me some drinks since I tuck you with this good information?
QUEST_20150211_000416	뭔가 궁금한 게 있으시다면 파이로맨서 마스터님의 연구실로 가보세요.{nl}감사하게도 많은 책을 공짜로 열람할 수 있지요.	If you have any questions, head over to Master Pyromancer's Laboratory. {Nl} Thankfully, you can read a lot of books for free.
QUEST_20150211_000417	여신상마다 어떤 여신인지에 따라 특별한 능력이 있다고 전해지는데요.{nl}이상하게 저 여신상은 바카리네 여신도 아닌데 원하는 곳으로 보내줄 수 있다고 하는군요.	Each Statue of Goddess is known to have different abilities depending on which Goddess it is. {Nl} Strangely, that Statue is not Goddess Vakarine but it can send you to your desired location.
QUEST_20150211_000418	탐험가 바키스의 영혼	Soul of Explorer Vakis
QUEST_20150211_000419	나에게 조금만 더 시간이 있었더라면..{nl}디키네 갈림길 근처에 모아 놓은 나의 자료들.. 놓고 갈 수 없어..	Only if I had a little more time .. {nl} The data I have collected near the Dykyne crossroad... I can't leave it..
QUEST_20150211_000420	이제 미련 없이 떠날 수 있겠어.{nl}안녕. 그 남자를 조심해..	Now I can leave without any regrets. {Nl} Goodbye and be careful of that man..
QUEST_20150211_000421	이 스크롤로 공간 틈새를 열어서 대왕의 열쇠를 찾아.{nl}뭐가 튀어나올지 모르니 조심하는 게 좋아.	Use this scroll to open a niche of space and find the Key of Great King. {Nl} You'll never know what will pop out so better be careful.
QUEST_20150211_000422	무너진 공소	The collapsed appeal
QUEST_20150211_000423	과거 작은 공소가 있던 곳이다.{nl}하루에 한 번 잠시 여신의 힘으로 여신 바카리네의 상이 나타났다 사라진다.	NA
QUEST_20150211_000424	나무뿌리 수정은 파괴 시 스태미나를 회복할 수 있습니다.{nl}신수의 날 이후 대량으로 발생한 이상현상입니다만,{nl}연구 결과 안전하다는 판정을 받았으므로 안심하시길 바랍니다.	Stamina can be recovered by destroying Tree Root Crystals. {Nl} It is an abnormality that began to happen after the Divine Day, {nl} But rest assured as the research results show that it is safe. 
QUEST_20150211_000425	대길이가 보내서 오셨군요.. 드.. 드리겠습니다.	So you were sent by Degil.. here.. here it is.
QUEST_20150211_000426	여신께선 언제나 주변을 도우라고 가르치셨습니다.{nl}저는 단지 그 가르침을 실천할 뿐입니다.	It was taught to help around the goddess Quezon always. {Nl} only I just, to practice its teachings.
QUEST_20150211_000427	당신이 아니었으면 꼼짝 없이 계속 그러고 있었을 거요.{nl}아직도 팔이 얼얼하고..{nl}하여간 지금 이 상황이 정상이 아니라는 것은 알겠소.	It is the continuation was so without motionless If it had not been for you. {Nl} is still arm is tingling .. {nl} anyway now small that it can be understood is that this situation is not normal.
QUEST_20150211_000428	밤이 가면 아침이 오지? 아우슈리네 여신께선 그 아침을 이끄는 여신이셔.{nl}뿐만 아니라 우리가 죽으면 아우슈리네 여신께로 가지. 	The morning comes after the night goes. Goddess Ausrine is the Goddess who leads the morning. {Nl}Also, we go to Goddess Ausrine when after death.
QUEST_20150211_000429	이상한 여신상	Strange image
QUEST_20150211_000430	분노하고 억울한 영혼이여. 내게 오라.	Mortifying soul angry. I aura.
QUEST_20150211_000431	훈련병 브란	Training soldiers Blanc
QUEST_20150211_000432	당신은 아까 우리를 도와준 분이군요.	I You you have me a little while ago to help us.
QUEST_20150211_000433	훈련소장 알류스	Training director Aleutian's
QUEST_20150211_000434	그만!!	STOP!
QUEST_20150211_000435	형편없군. 이대로는 전투력에 보탬은커녕 몬스터에게 목숨을 갖다 바치겠어.	Convenience I feed. At this rate you dedicate have a life to monsters Far useful to combat force.
QUEST_20150211_000436	만약에 제가 조각가님을 다시 만난다면요.{nl}보라색이랑 초록색 깃털로 꾸며달라고 말하고 싶어요!{nl}	If Damyon'yo met my sculptor like again. {Nl} I want to say that it get decorated with purple Yara green feather! {Nl}
QUEST_20150211_000437	생각만 해도 멋지지 않나요?{nl}보라색이랑, 초록색이랑.. 헤헤..	Do not nice even just thinking? {Nl} purple Yara, green Yara .. Hehe.
QUEST_20150211_000438	조각가님은 우릴 만들었어. 여신의 계시를 받아서. 응. 만들었어.{nl}우린 조각가님의 뜻을 받아 영혼을 위로하고 있어. {nl}	Sculptor like the word that made us. In response to the revelation of the goddess. Yup. Was created. {Nl} We are comforted soul in response to the meaning of the sculptor like. {Nl}
QUEST_20150211_000439	영혼은 정말 대단해. 마치 반딧불이처럼. 비단벌레처럼.{nl}보고 있으면 황홀해져. 조각가님이 계신 곳처럼.	Soul really amazing. Almost like a firefly. As to the jewel beetle. {Nl} you are and Become a trance watching. Sculptor san, as you live.
